192.168.0.4 - - [08/Sep/2012:11:19:17 +0200] "GET /stages/Listestage.php HTTP/1.1" 200 74694 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.5 - - [08/Sep/2012:11:19:21 +0200] "GET /temps/3IF1.ics HTTP/1.1" 304 - "-" "DataAccess/1.0 (8C148)"
192.168.0.6 - - [08/Sep/2012:11:19:35 +0200] "GET /temps/ HTTP/1.1" 200 6835 "http://www.google.fr/search?hl=fr&gl=FR&ie=UTF-8&source=android-browser&q=intranet+if&redir_esc=&ei=ng1LUJe9KIGf0QXdg4HoAg" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:19:35 +0200] "GET /temps/style_emploi_du_temps.css HTTP/1.1" 200 1216 "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:19:36 +0200] "GET /temps/FondInsa.jpg HTTP/1.1" 200 2828 "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:19:36 +0200] "GET /temps/InsaIF.ico HTTP/1.1" 200 766 "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:19:56 +0200] "GET / HTTP/1.1" 200 216 "-" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:19:56 +0200] "GET /favicon.ico HTTP/1.1" 200 1700 "http://intranet-if.insa-lyon.fr/" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.3 - - [08/Sep/2012:11:20:17 +0200] "GET /temps/index.html HTTP/1.1" 200 6835 "http://intranet-if.insa-lyon.fr/temps/3IF39.html" "Mozilla/5.0 (Linux; U; Android 2.3.7; fr_fr; Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
192.168.0.6 - - [08/Sep/2012:11:20:23 +0200] "GET /temps/precedent.gif HTTP/1.1" 200 1906 "http://intranet-if.insa-lyon.fr/temps/3IF37.html" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:20:22 +0200] "GET /temps/3IF37.html HTTP/1.1" 200 17269 "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:20:23 +0200] "GET /temps/choix.gif HTTP/1.1" 200 2836 "http://intranet-if.insa-lyon.fr/temps/3IF37.html" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:20:23 +0200] "GET /temps/suivant.gif HTTP/1.1" 200 1634 "http://intranet-if.insa-lyon.fr/temps/3IF37.html" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.4 - - [08/Sep/2012:11:20:45 +0200] "GET /temps/3IF37.html HTTP/1.1" 200 17269 "http://intranet-if.insa-lyon.fr/temps/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.6 - - [08/Sep/2012:11:20:59 +0200] "GET /temps/3IF38.html HTTP/1.1" 200 21722 "http://intranet-if.insa-lyon.fr/temps/3IF37.html" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.6 - - [08/Sep/2012:11:21:15 +0200] "GET /temps/3IF39.html HTTP/1.1" 200 22495 "http://intranet-if.insa-lyon.fr/temps/3IF38.html" "Mozilla/5.0 (Linux; U; Android 4.0.4; fr-fr; Galaxy Nexus Build/IMM76L; CyanogenMod-9.0.0) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
192.168.0.4 - - [08/Sep/2012:11:21:45 +0200] "GET /temps/3IF38.html HTTP/1.1" 304 - "http://intranet-if.insa-lyon.fr/temps/3IF37.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:21:58 +0200] "GET /temps/3IF39.html HTTP/1.1" 304 - "http://intranet-if.insa-lyon.fr/temps/3IF38.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:22:24 +0200] "GET /temps/3IF40.html HTTP/1.1" 200 23907 "http://intranet-if.insa-lyon.fr/temps/3IF39.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:22:51 +0200] "GET /temps/3IF41.html HTTP/1.1" 200 24037 "http://intranet-if.insa-lyon.fr/temps/3IF40.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:22:56 +0200] "GET /temps/3IF42.html HTTP/1.1" 200 22591 "http://intranet-if.insa-lyon.fr/temps/3IF41.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:23:02 +0200] "GET /temps/3IF43.html HTTP/1.1" 200 22193 "http://intranet-if.insa-lyon.fr/temps/3IF42.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.7 - - [08/Sep/2012:11:23:09 +0200] "GET /temps/MK.ics HTTP/1.1" 200 11362 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
192.168.0.8 - - [08/Sep/2012:11:23:22 +0200] "GET / HTTP/1.1" 200 216 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.8 - - [08/Sep/2012:11:23:22 +0200] "GET /favicon.ico HTTP/1.1" 200 1700 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.4 - - [08/Sep/2012:11:23:40 +0200] "GET /temps/3IF44.html HTTP/1.1" 200 5207 "http://intranet-if.insa-lyon.fr/temps/3IF43.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.4 - - [08/Sep/2012:11:23:41 +0200] "GET /temps/3IF45.html HTTP/1.1" 200 23840 "http://intranet-if.insa-lyon.fr/temps/3IF44.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
192.168.0.8 - - [08/Sep/2012:11:23:42 +0200] "GET /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 302 477 "http://if.insa-lyon.fr/" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.8 - - [08/Sep/2012:11:23:43 +0200] "GET /SiteWebIF/Intranet-etudiant.php?ticket=ST-341682-RjfRTgziibddmotBJFlo-dsi-vm03 HTTP/1.1" 302 - "http://if.insa-lyon.fr/" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.8 - - [08/Sep/2012:11:23:43 +0200] "GET /SiteWebIF/Intranet-etudiant.php HTTP/1.1" 200 3781 "http://if.insa-lyon.fr/" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.8 - - [08/Sep/2012:11:23:43 +0200] "GET /stages/style_pfe.css HTTP/1.1" 200 895 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
192.168.0.8 - - [08/Sep/2012:11:23:43 +0200] "GET /stages/InsaIF.ico HTTP/1.1" 200 766 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2.10) Gecko/20100914 Firefox/3.6.10"
